"annotation_id","serial_number","start_time","annotation_type","annotation_text","created_by","created_at","updated_at","current_test_id"
1,"190825300373","2025-08-14 09:23:39.168-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 13:51:42.770824-04","2025-08-18 13:51:59.751862-04",2683
2,"190825300440","2025-08-14 09:23:39.168-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 13:52:24.571953-04","2025-08-18 13:52:24.571953-04",2694
3,"190825300599","2025-08-14 09:23:39.168-04","failure_cause","Channel Undervoltage BA","User","2025-08-18 13:53:02.066822-04","2025-08-18 13:53:02.066822-04",2709
4,"190825300705","2025-08-14 09:23:39.168-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 13:53:12.417533-04","2025-08-18 13:53:12.417533-04",2717
5,"190825300707","2025-08-14 09:23:39.168-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 13:53:20.427315-04","2025-08-18 13:53:20.427315-04",2719
6,"190825300735","2025-08-14 09:23:39.168-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 13:53:33.02277-04","2025-08-18 13:53:33.02277-04",2725
7,"190825300743","2025-08-14 09:23:39.168-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 13:53:41.241461-04","2025-08-18 13:53:41.241461-04",2728
8,"190825300132","2025-08-14 09:23:39.168-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 13:53:45.673799-04","2025-08-18 13:53:45.673799-04",2734
9,"190825300398","2025-08-14 09:23:39.168-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 13:53:53.077902-04","2025-08-18 13:53:53.077902-04",2736
10,"190825300101","2025-08-14 09:23:39.168-04","failure_cause","unknown","User","2025-08-18 13:54:17.490233-04","2025-08-18 13:54:17.490233-04",2655
11,"190825300075","2025-08-14 09:23:39.168-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 13:54:29.445946-04","2025-08-18 13:54:29.445946-04",2653
12,"190825300003","2025-08-14 09:23:39.168-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 13:54:35.748897-04","2025-08-18 13:54:35.748897-04",2650
13,"190825280167","2025-08-14 09:23:39.168-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 13:54:43.637362-04","2025-08-18 13:54:43.637362-04",2649
14,"190825280143","2025-08-14 09:23:39.168-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 13:54:48.434283-04","2025-08-18 13:54:48.434283-04",2647
15,"190825260071","2025-08-04 07:57:04.259-04","failure_cause","Channel Short AA","User","2025-08-18 13:55:55.076762-04","2025-08-18 13:55:55.076762-04",2330
16,"190825300690","2025-08-05 06:02:15.116-04","failure_cause","Setup - DC","User","2025-08-18 13:58:59.303011-04","2025-08-18 13:58:59.303011-04",2423
60,"190825300222","2025-07-31 05:37:35.2-04","failure_cause","Setup Issue - DC SRC Temp","User","2025-08-18 14:20:05.197746-04","2025-08-18 14:20:05.197746-04",2127
